image_id,labels
sparse_residential_area_0,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_1,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_2,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_3,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_4,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_5,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_6,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_7,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_8,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_9,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_10,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_11,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_12,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_13,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_14,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_15,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_16,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_17,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_18,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_19,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_20,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_21,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_22,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_23,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_24,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_25,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_26,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
